query,product_id,title,description,category,price,brand,rating,tags,total_views,total_clicks,total_add_to_cart,total_purchases,ctr,atc_rate,purchase_rate,recent_views_7d,recent_purchases_7d,popularity,query_product_views,query_product_clicks,query_product_purchases,query_ctr,query_purchase_rate,tfidf_similarity
action figure,28,LG Laptop 28,High-quality laptop from LG. Perfect for everyday use. Features premium materials and excellent craftsmanship.,electronics,47.13,LG,4.8,"premium,classic",66,29,13,7,0.43283582089552236,0.19402985074626866,0.1044776119402985,5.0,0.0,0.9041095890410958,2,1,0,0.3333333333333333,0.0,0.0
action figure,29,Maybelline Moisturizer 29,High-quality moisturizer from Maybelline. Perfect for everyday use. Features premium materials and excellent craftsmanship.,beauty,16.99,Maybelline,4.1,"new,trending,limited,bestseller",40,16,6,1,0.3902439024390244,0.14634146341463414,0.024390243902439025,5.0,1.0,0.547945205479452,3,2,0,0.5,0.0,0.0
action figure,30,Fossil Watch 30,High-quality watch from Fossil. Perfect for everyday use. Features premium materials and excellent craftsmanship.,accessories,18.34,Fossil,4.3,"sale,premium,trending",58,24,10,2,0.4067796610169492,0.1694915254237288,0.03389830508474576,8.0,1.0,0.7945205479452054,1,1,0,0.5,0.0,0.0
action figure,31,Bosch Air Freshener 31,High-quality air freshener from Bosch. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,6.64,Bosch,4.0,"popular,eco-friendly,premium",48,15,3,1,0.30612244897959184,0.061224489795918366,0.02040816326530612,5.0,0.0,0.6575342465753424,1,1,0,0.5,0.0,0.0
action figure,33,Nike Running Shoes 33,High-quality running shoes from Nike. Perfect for everyday use. Features premium materials and excellent craftsmanship.,footwear,23.5,Nike,3.8,"new,classic",51,19,5,2,0.36538461538461536,0.09615384615384616,0.038461538461538464,10.0,0.0,0.6986301369863014,1,0,0,0.0,0.0,0.0
action figure,34,Goodyear Brake Pad 34,High-quality brake pad from Goodyear. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,20.86,Goodyear,4.4,"modern,bestseller,limited",47,19,9,1,0.3958333333333333,0.1875,0.020833333333333332,9.0,1.0,0.6438356164383562,1,0,0,0.0,0.0,0.0
action figure,35,Fossil Sunglasses 35,High-quality sunglasses from Fossil. Perfect for everyday use. Features premium materials and excellent craftsmanship.,accessories,12.78,Fossil,4.1,"premium,limited",48,23,8,5,0.46938775510204084,0.16326530612244897,0.10204081632653061,9.0,2.0,0.6575342465753424,2,2,0,0.6666666666666666,0.0,0.0
action figure,36,Nike Sneakers 36,High-quality sneakers from Nike. Perfect for everyday use. Features premium materials and excellent craftsmanship.,footwear,31.63,Nike,2.4,"bestseller,classic",47,15,4,3,0.3125,0.08333333333333333,0.0625,5.0,0.0,0.6438356164383562,1,1,0,0.5,0.0,0.0
action figure,37,New Balance Slippers 37,High-quality slippers from New Balance. Perfect for everyday use. Features premium materials and excellent craftsmanship.,footwear,20.16,New Balance,4.3,"trending,sale,bestseller,eco-friendly",50,23,9,1,0.45098039215686275,0.17647058823529413,0.0196078431372549,5.0,0.0,0.684931506849315,1,1,0,0.5,0.0,0.0
action figure,39,LG Laptop 39,High-quality laptop from LG. Perfect for everyday use. Features premium materials and excellent craftsmanship.,electronics,127.32,LG,2.7,"eco-friendly,classic,modern",47,20,9,2,0.4166666666666667,0.1875,0.041666666666666664,2.0,0.0,0.6438356164383562,1,0,0,0.0,0.0,0.0
action figure,40,Michael Kors Watch 40,High-quality watch from Michael Kors. Perfect for everyday use. Features premium materials and excellent craftsmanship.,accessories,18.25,Michael Kors,3.5,"modern,bestseller",53,20,12,2,0.37037037037037035,0.2222222222222222,0.037037037037037035,4.0,0.0,0.726027397260274,2,1,1,0.3333333333333333,0.3333333333333333,0.0
action figure,41,Sony Tablet 41,High-quality tablet from Sony. Perfect for everyday use. Features premium materials and excellent craftsmanship.,electronics,58.02,Sony,4.4,"classic,sale,limited",72,27,9,3,0.3698630136986301,0.1232876712328767,0.0410958904109589,10.0,0.0,0.9863013698630136,2,1,0,0.3333333333333333,0.0,0.0
